"temperature","Date"
25.8,"17-10-2020"
25.5,"18-10-2020"
25.6,"19-10-2020"
28.9,"20-10-2020"
25.6,"21-10-2020"
22.7100137174211,"22-10-2020"
27.7,"23-10-2020"
25.8,"24-10-2020"
20.7,"25-10-2020"
26.9,"26-10-2020"
17.8,"27-10-2020"
24,"28-10-2020"
27.4,"29-10-2020"
30.3,"30-10-2020"
29.1,"31-10-2020"
25.7,"01-11-2020"
27.8,"02-11-2020"
30.4,"03-11-2020"
26.4,"04-11-2020"
27.5,"05-11-2020"
28.8,"06-11-2020"
32.4,"07-11-2020"
26.7,"08-11-2020"
29.2,"09-11-2020"
28.9,"10-11-2020"
25.3,"11-11-2020"
28.420987654321,"12-11-2020"
16.4,"13-11-2020"
25.2,"14-11-2020"
27.3,"15-11-2020"
28.3,"16-11-2020"
21.2,"17-11-2020"
27.7,"18-11-2020"
21.1,"19-11-2020"
21.7,"20-11-2020"
27.8,"21-11-2020"
30.9,"22-11-2020"
28.2,"23-11-2020"
27.7,"24-11-2020"
28.1,"25-11-2020"
31.4,"26-11-2020"
30.1,"27-11-2020"
29.9,"28-11-2020"
30.3,"29-11-2020"
32.1,"30-11-2020"
29.9,"01-12-2020"
28.8,"02-12-2020"
29.7,"03-12-2020"
31.4,"04-12-2020"
30.3,"05-12-2020"
32.2,"06-12-2020"
29.3,"07-12-2020"
30.8,"08-12-2020"
33.3,"09-12-2020"
25.4,"10-12-2020"
29.4,"11-12-2020"
30.9,"12-12-2020"
31.1,"13-12-2020"
29.4,"14-12-2020"
30.2,"15-12-2020"
32.7,"16-12-2020"
31.1,"17-12-2020"
23.3,"18-12-2020"
27.1,"19-12-2020"
30.4,"20-12-2020"
33.9,"21-12-2020"
33,"22-12-2020"
29.2,"23-12-2020"
32.9,"24-12-2020"
34.6,"25-12-2020"
30.4,"26-12-2020"
28.3,"27-12-2020"
32.1,"28-12-2020"
30.1,"29-12-2020"
31.2,"30-12-2020"
33.9,"31-12-2020"
