cooling_rate,init_temp,restart_threshold,avg_score,std_score,avg_iterations,avg_iter_90pct,avg_execution_time,avg_mean_cv,avg_size_imbalance
0.9,10,500,10.50281236530515,0.22271057451320128,88.0,39.4,0.1890275001525879,0.844053497561785,0.25
0.9,10,1000,10.682812365305152,2.383232787117382e-15,88.0,26.0,0.19157166481018068,0.6229592907294499,0.21000000000000002
0.9,10,2000,10.622812365305151,0.12000000000000101,88.0,8.2,0.1945620059967041,0.680464824954393,0.24000000000000005
0.9,100,100,10.562812365305152,0.24000000000000055,203.2,42.8,0.42284369468688965,0.6111540735887084,0.33999999999999997
0.9,100,500,10.68281236530515,2.6347629809804343e-15,109.0,28.0,0.24179792404174805,0.7172839459837294,0.24000000000000005
0.9,100,1000,10.68281236530515,3.1776437161565094e-15,109.0,14.2,0.23487677574157714,0.631615709075309,0.21999999999999997
0.9,100,2000,10.682812365305152,2.383232787117382e-15,109.0,35.4,0.24004440307617186,0.6897079527854025,0.22000000000000003
0.9,1000,100,10.602812365305152,0.16000000000000014,511.2,16.8,1.0582597732543946,0.6735716037776035,0.22000000000000003
0.9,1000,500,10.682812365305152,2.5121479338940403e-15,131.0,18.4,0.2840106964111328,0.6078621824211217,0.21999999999999997
0.9,1000,1000,10.682812365305152,0.0,131.0,78.0,0.28503050804138186,0.7007544688195428,0.1
0.9,1000,2000,10.682812365305152,0.0,131.0,31.2,0.28971133232116697,0.6334207041606461,0.21000000000000002
0.9,5000,100,10.602812365305152,0.16000000000000156,682.2,48.2,1.40706524848938,0.5669429581889034,0.26
0.9,5000,500,10.50281236530515,0.24000000000000174,146.0,43.4,0.30581321716308596,0.5692590113896142,0.2
0.9,5000,1000,10.682812365305153,1.5888218580782547e-15,146.0,36.8,0.3122702121734619,0.6427616272178237,0.25
0.9,5000,2000,10.602812365305152,0.16000000000000106,146.0,40.0,0.30367307662963866,0.7705977145885528,0.22000000000000003
0.95,10,100,10.522812365305152,0.3200000000000026,737.6,35.0,1.4787482261657714,0.7140778947198354,0.27999999999999997
0.95,10,500,10.56281236530515,0.24000000000000005,178.0,32.4,0.3629004001617432,0.6175782340023755,0.27
0.95,10,1000,10.562812365305152,0.2400000000000013,178.0,32.6,0.3486947059631348,0.6493472485464709,0.24000000000000005
